ozwyl,marwad,200,100,1,residential,1,700
jussh,marwad,200,100,1,residential,1,1000
rcgvu,marwad,200,100,1,residential,1,1100
aicss,marwad,200,100,1,residential,1,1300
btedr,marwad,200,100,6,residential,1,700
enhmj,marwad,200,100,6,residential,1,1000
kmzpc,marwad,200,100,6,residential,1,1100
jeowk,marwad,200,100,6,residential,1,1300
alefd,marwad,200,100,11,residential,1,700
znaxp,marwad,200,100,11,residential,1,1000
lhrfd,marwad,200,100,11,residential,1,1100
bmzyc,marwad,200,100,11,residential,1,1300
iuxcn,marwad,200,100,16,residential,1,700
juhmv,marwad,200,100,16,residential,1,1000
psqvc,marwad,200,100,16,residential,1,1100
ujlce,marwad,200,100,16,residential,1,1300
uruwq,marwad,200,100,21,residential,1,700
gpmxq,marwad,200,100,21,residential,1,1000
anvxe,marwad,200,100,21,residential,1,1100
dxrxc,marwad,200,100,21,residential,1,1300
kkdbg,marwad,200,100,1,residential,2,700
iicqz,marwad,200,100,1,residential,2,1000
lfxfu,marwad,200,100,1,residential,2,1100
jcpsi,marwad,200,100,1,residential,2,1300
cxcsx,marwad,200,100,6,residential,2,700
wnoki,marwad,200,100,6,residential,2,1000
zcoog,marwad,200,100,6,residential,2,1100
jjvbw,marwad,200,100,6,residential,2,1300
ccfbm,marwad,200,100,11,residential,2,700
zngmf,marwad,200,100,11,residential,2,1000
zdabr,marwad,200,100,11,residential,2,1100
huoqf,marwad,200,100,11,residential,2,1300
ymgwo,marwad,200,100,16,residential,2,700
nmrin,marwad,200,100,16,residential,2,1000
rdrxc,marwad,200,100,16,residential,2,1100
nwxgo,marwad,200,100,16,residential,2,1300
uwhkh,marwad,200,100,21,residential,2,700
dtsvg,marwad,200,100,21,residential,2,1000
jnkfx,marwad,200,100,21,residential,2,1100
rjtrm,marwad,200,100,21,residential,2,1300
zmued,marwad,200,100,1,commercial,1,700
rkxag,marwad,200,100,1,commercial,1,1000
tuoav,marwad,200,100,1,commercial,1,1100
waujj,marwad,200,100,1,commercial,1,1300
shyjv,marwad,200,100,6,commercial,1,700
zzmfv,marwad,200,100,6,commercial,1,1000
ehpsu,marwad,200,100,6,commercial,1,1100
bvxto,marwad,200,100,6,commercial,1,1300
zdmky,marwad,200,100,11,commercial,1,700
jejgt,marwad,200,100,11,commercial,1,1000
rlmcg,marwad,200,100,11,commercial,1,1100
fpunp,marwad,200,100,11,commercial,1,1300
pinwg,marwad,200,100,16,commercial,1,700
fvdpf,marwad,200,100,16,commercial,1,1000
kgmth,marwad,200,100,16,commercial,1,1100
cycox,marwad,200,100,16,commercial,1,1300
odvht,marwad,200,100,21,commercial,1,700
tlqaf,marwad,200,100,21,commercial,1,1000
dzevj,marwad,200,100,21,commercial,1,1100
nfiwa,marwad,200,100,21,commercial,1,1300
hiskk,marwad,200,100,1,commercial,2,700
ywxiz,marwad,200,100,1,commercial,2,1000
fjlop,marwad,200,100,1,commercial,2,1100
zqqnc,marwad,200,100,1,commercial,2,1300
njdzz,marwad,200,100,6,commercial,2,700
zeqgr,marwad,200,100,6,commercial,2,1000
fnfci,marwad,200,100,6,commercial,2,1100
papgs,marwad,200,100,6,commercial,2,1300
ieunk,marwad,200,100,11,commercial,2,700
tgvgb,marwad,200,100,11,commercial,2,1000
azypp,marwad,200,100,11,commercial,2,1100
gmebe,marwad,200,100,11,commercial,2,1300
hiqsr,marwad,200,100,16,commercial,2,700
daiwi,marwad,200,100,16,commercial,2,1000
eonrt,marwad,200,100,16,commercial,2,1100
wpaeb,marwad,200,100,16,commercial,2,1300
enlku,marwad,200,100,21,commercial,2,700
zuyqo,marwad,200,100,21,commercial,2,1000
erabg,marwad,200,100,21,commercial,2,1100
yzpnh,marwad,200,100,21,commercial,2,1300
nqthl,marwad,200,150,1,residential,1,700
valyv,marwad,200,150,1,residential,1,1000
qkuwt,marwad,200,150,1,residential,1,1100
dqnfa,marwad,200,150,1,residential,1,1300
ygxrw,marwad,200,150,6,residential,1,700
tqmqc,marwad,200,150,6,residential,1,1000
kxjih,marwad,200,150,6,residential,1,1100
ffoyc,marwad,200,150,6,residential,1,1300
bpdjy,marwad,200,150,11,residential,1,700
bmwey,marwad,200,150,11,residential,1,1000
eketi,marwad,200,150,11,residential,1,1100
xrgjz,marwad,200,150,11,residential,1,1300
rvgle,marwad,200,150,16,residential,1,700
grebs,marwad,200,150,16,residential,1,1000
eomlg,marwad,200,150,16,residential,1,1100
igqnh,marwad,200,150,16,residential,1,1300
ekeuy,marwad,200,150,21,residential,1,700
vwtfi,marwad,200,150,21,residential,1,1000
ezpgp,marwad,200,150,21,residential,1,1100
cuxpn,marwad,200,150,21,residential,1,1300
sagdn,marwad,200,150,1,residential,2,700
gyyae,marwad,200,150,1,residential,2,1000
nzeqq,marwad,200,150,1,residential,2,1100
xpabw,marwad,200,150,1,residential,2,1300
lggqn,marwad,200,150,6,residential,2,700
gwhgt,marwad,200,150,6,residential,2,1000
aemzn,marwad,200,150,6,residential,2,1100
igneb,marwad,200,150,6,residential,2,1300
wqufp,marwad,200,150,11,residential,2,700
fovte,marwad,200,150,11,residential,2,1000
dvakr,marwad,200,150,11,residential,2,1100
sxefb,marwad,200,150,11,residential,2,1300
srvme,marwad,200,150,16,residential,2,700
rydtb,marwad,200,150,16,residential,2,1000
okeip,marwad,200,150,16,residential,2,1100
xvixh,marwad,200,150,16,residential,2,1300
xjbfw,marwad,200,150,21,residential,2,700
fykkb,marwad,200,150,21,residential,2,1000
hfgqf,marwad,200,150,21,residential,2,1100
umyop,marwad,200,150,21,residential,2,1300
fttnc,marwad,200,150,1,commercial,1,700
lebnb,marwad,200,150,1,commercial,1,1000
fzqyr,marwad,200,150,1,commercial,1,1100
xdoob,marwad,200,150,1,commercial,1,1300
scpyn,marwad,200,150,6,commercial,1,700
hyvyp,marwad,200,150,6,commercial,1,1000
psjci,marwad,200,150,6,commercial,1,1100
fakfj,marwad,200,150,6,commercial,1,1300
owynb,marwad,200,150,11,commercial,1,700
stzgu,marwad,200,150,11,commercial,1,1000
nnvwo,marwad,200,150,11,commercial,1,1100
ifozx,marwad,200,150,11,commercial,1,1300
wukyt,marwad,200,150,16,commercial,1,700
ycxhu,marwad,200,150,16,commercial,1,1000
vlmvm,marwad,200,150,16,commercial,1,1100
ktktg,marwad,200,150,16,commercial,1,1300
tvihi,marwad,200,150,21,commercial,1,700
gbxkk,marwad,200,150,21,commercial,1,1000
sjcyd,marwad,200,150,21,commercial,1,1100
tqqga,marwad,200,150,21,commercial,1,1300
xwglk,marwad,200,150,1,commercial,2,700
muxrz,marwad,200,150,1,commercial,2,1000
ljktg,marwad,200,150,1,commercial,2,1100
cazpu,marwad,200,150,1,commercial,2,1300
qnvkg,marwad,200,150,6,commercial,2,700
esdhm,marwad,200,150,6,commercial,2,1000
fijba,marwad,200,150,6,commercial,2,1100
nvbft,marwad,200,150,6,commercial,2,1300
tfdji,marwad,200,150,11,commercial,2,700
lwxvc,marwad,200,150,11,commercial,2,1000
zbing,marwad,200,150,11,commercial,2,1100
mvhhh,marwad,200,150,11,commercial,2,1300
rgbhz,marwad,200,150,16,commercial,2,700
reffr,marwad,200,150,16,commercial,2,1000
cjnio,marwad,200,150,16,commercial,2,1100
mnqxf,marwad,200,150,16,commercial,2,1300
chjmy,marwad,200,150,21,commercial,2,700
uarss,marwad,200,150,21,commercial,2,1000
fkwey,marwad,200,150,21,commercial,2,1100
kutvt,marwad,200,150,21,commercial,2,1300
cctae,marwad,200,200,1,residential,1,700
vfbnh,marwad,200,200,1,residential,1,1000
vtnak,marwad,200,200,1,residential,1,1100
tpies,marwad,200,200,1,residential,1,1300
coeib,marwad,200,200,6,residential,1,700
iaghi,marwad,200,200,6,residential,1,1000
okljg,marwad,200,200,6,residential,1,1100
pcrmv,marwad,200,200,6,residential,1,1300
nqqox,marwad,200,200,11,residential,1,700
gujqw,marwad,200,200,11,residential,1,1000
qfojf,marwad,200,200,11,residential,1,1100
